dissertation_id,aha_dissertation_id,scholar_id,aha_scholar_id,role
2,5876,9891,48281,chair
5,5879,21830,107296,chair
8,5882,741,6593,chair
9,5883,18035,85382,chair
14,5888,17353,82752,chair
15,5889,18413,86622,chair
18,5892,24117,117455,chair
28,5902,23342,115674,chair
30,5904,30343,137314,chair
31,5905,29720,136258,chair
32,5906,20998,102317,chair
33,5907,28768,132517,chair
34,5908,28316,131807,chair
37,5911,16646,79800,chair
45,5920,18788,88771,chair
47,5922,6721,32587,chair
49,5924,1145,7694,chair
50,5925,22147,110180,chair
51,5926,19350,91711,chair
53,5928,9893,48285,chair
54,5929,1734,9199,chair
56,5931,30065,136905,chair
59,5934,28419,132005,chair
63,5938,7923,39724,chair
67,5942,30298,137265,chair
70,5946,27296,126974,chair
72,5949,4866,19636,chair
74,5951,11295,54333,chair
75,5952,23506,115952,chair
76,5953,30379,137355,chair
77,5954,23104,115159,chair
78,5955,2312,10821,chair
79,5956,4297,18108,chair
80,5957,6797,32940,chair
81,5958,30513,137515,chair
82,5959,833,6835,chair
83,5960,5007,20009,chair
84,5961,24909,119505,chair
85,5962,17317,82571,chair
86,5964,3983,17313,chair
91,5969,8099,40289,chair
93,5971,24893,119481,chair
93,5971,5537,21408,reader
96,5974,7209,36301,chair
97,5975,25158,119977,chair
98,5976,2747,11976,chair
99,5977,2198,10537,chair
100,5978,28656,132341,chair
105,5983,23016,114879,chair
109,5987,2564,11476,chair
110,5988,2900,12357,chair
111,5989,2149,10405,chair
115,5993,10151,49348,chair
121,5999,19350,91711,chair
122,6000,11582,55946,chair
123,6001,3862,16958,chair
124,6002,4490,18613,chair
125,6003,20772,101271,chair
126,6004,18175,85754,chair
128,6006,6389,31309,chair
129,6007,6037,22625,chair
132,6011,29743,136299,chair
135,6014,23979,117117,chair
135,6014,1836,9475,reader
137,6016,17243,82140,chair
139,6018,9784,47796,chair
141,6020,20816,101359,chair
142,6021,1092,7554,chair
143,6022,15781,76075,chair
145,6024,6334,31098,chair
148,6027,6676,32402,chair
149,6028,22390,111600,chair
150,6029,3692,16497,chair
151,6030,15404,73945,chair
152,6031,3983,17313,chair
159,6038,6118,22804,chair
160,6039,6568,32006,chair
161,6040,410,5668,chair
162,6041,23223,115363,chair
163,6042,4876,19658,chair
165,6044,12402,60040,chair
172,6052,420,5699,chair
175,6055,3229,15345,chair
176,6056,28763,132512,chair
177,6057,11464,55127,chair
180,6060,30662,137678,chair
181,6061,4529,18732,chair
182,6062,9924,48360,chair
183,6064,28963,132935,chair
183,6064,28390,131970,reader
184,6065,9511,46489,chair
185,6066,21093,102781,chair
186,6067,1070,7480,chair
187,6068,1542,8711,chair
189,6070,240,2450,chair
190,6071,15444,74216,chair
191,6072,30524,137526,chair
192,6073,12175,58813,chair
192,6073,24445,118229,reader
193,6074,25200,120038,chair
195,6076,3726,16585,chair
197,6078,697,6473,chair
199,6080,28156,131423,chair
201,6082,16441,78699,chair
204,6085,10551,51099,chair
206,6087,26099,122045,chair
209,6090,6218,23085,chair
216,6098,21925,108425,chair
217,6099,30396,137377,chair
218,6100,1974,9910,chair
220,6102,24677,118882,chair
223,6105,5193,20540,chair
225,6107,5218,20594,chair
237,6119,15370,73679,chair
238,6120,5102,20273,chair
240,6122,30690,137718,chair
245,6127,3925,17179,chair
246,6129,5308,20836,chair
249,6132,6987,33746,chair
251,6134,30248,137195,chair
258,6141,15072,72367,chair
259,6142,11416,54920,chair
263,6146,11204,53955,chair
264,6147,28770,132519,chair
267,6150,29758,136315,chair
270,6153,25239,120097,chair
273,6156,10322,49917,chair
274,6157,23934,117059,chair
278,6161,5905,22290,chair
279,6162,23933,117058,chair
282,6165,20268,98868,chair
282,6165,30811,137906,reader
284,6167,3459,15933,chair
288,6171,5793,22001,chair
291,6174,3983,17313,chair
294,6177,20057,97132,chair
295,6178,26763,125798,chair
295,6178,10236,49635,reader
297,6180,872,6947,chair
297,6180,2026,10073,reader
299,6182,872,6947,chair
303,6186,25014,119676,chair
304,6187,27198,126751,chair
306,6189,21264,103372,chair
307,6190,3983,17313,chair
310,6193,19609,93046,chair
312,6195,1133,7664,chair
313,6196,1345,8204,chair
316,6199,20565,100237,chair
318,6201,8372,41511,chair
319,6202,29743,136299,chair
322,6205,14527,69518,chair
325,6208,1603,8852,chair
328,6211,5218,20594,chair
329,6212,1575,8783,chair
331,6214,3795,16757,chair
339,6223,23498,115939,chair
341,6225,1177,7788,chair
342,6226,30553,137556,chair
346,6230,3591,16269,chair
348,6232,58305,172561,chair
351,6235,339,5460,chair
352,6236,25300,120202,chair
354,6238,30464,137451,chair
355,6239,29762,136320,chair
361,6245,21264,103372,chair
362,6246,8448,41768,chair
364,6248,1597,8832,chair
365,6249,21264,103372,chair
366,6250,24892,119480,chair
366,6250,18525,87393,reader
368,6252,24723,118948,chair
375,6259,27291,126969,chair
378,6262,21600,105285,chair
380,6264,2692,11846,chair
381,6265,12991,62271,chair
382,6266,1246,7950,chair
383,6267,3278,15466,chair
384,6268,4061,17540,chair
386,6270,24913,119509,chair
387,6271,21005,102350,chair
387,6271,19271,91189,reader
388,6272,8709,42646,chair
390,6275,5687,21741,chair
391,6276,10172,49426,chair
392,6277,15493,74391,chair
399,6284,3225,15336,chair
402,6287,3216,15319,chair
403,6288,17320,82574,chair
405,6290,5434,21131,chair
407,6292,23086,115139,chair
408,6293,6912,33385,chair
408,6293,21216,103141,reader
409,6294,14330,68507,chair
413,6299,20672,100772,chair
417,6303,30268,137216,chair
418,6304,25307,120213,chair
420,6306,12299,59431,chair
424,6310,9164,44447,chair
425,6311,15989,76941,chair
427,6313,6349,31170,chair
428,6314,4834,19535,chair
429,6315,450,5755,chair
431,6317,21614,105301,chair
432,6318,27241,126833,chair
435,6321,5058,20140,chair
439,6326,7963,39817,chair
443,6330,4455,18508,chair
444,6331,25307,120213,chair
447,6334,27273,126947,chair
448,6335,14681,70494,chair
449,6336,8643,42342,chair
452,6339,21080,102749,chair
453,6340,28621,132283,chair
455,6342,22444,111745,chair
456,6343,25340,120284,chair
458,6345,25273,120150,chair
462,6349,11277,54177,chair
465,6352,23104,115159,chair
467,6354,4651,19038,chair
468,6355,17609,83996,chair
470,6357,4094,17607,chair
472,6359,450,5755,chair
473,6360,4012,17397,chair
475,6362,4497,18636,chair
476,6364,27238,126828,chair
477,6365,22931,114749,chair
479,6367,23302,115495,chair
480,6368,277,5301,chair
481,6369,15258,73225,chair
482,6370,2312,10821,chair
483,6371,23117,115177,chair
484,6372,23543,116052,chair
485,6373,19831,94675,chair
486,6374,18035,85382,chair
489,6377,26949,126101,chair
490,6378,27233,126817,chair
491,6379,21264,103372,chair
493,6381,28772,132521,chair
496,6385,10124,49238,chair
497,6386,2963,12524,chair
498,6387,16916,80867,chair
499,6388,30519,137521,chair
502,6391,22149,110183,chair
504,6393,618,6267,chair
506,6395,4526,18720,chair
508,6397,16465,78791,chair
511,6401,1389,8304,chair
512,6402,11232,54017,chair
514,6404,17219,82054,chair
516,6406,29663,136153,chair
521,6411,3830,16877,chair
522,6412,1479,8530,chair
524,6414,20801,101334,chair
525,6415,28766,132515,chair
526,6416,27288,126966,chair
532,6423,26100,122046,chair
534,6425,11134,53594,chair
536,6428,1025,7351,chair
539,6431,1092,7554,chair
541,6433,5410,21069,chair
545,6437,17103,81530,chair
549,6441,16270,77914,chair
557,6449,23942,117068,chair
557,6449,19556,92826,reader
561,6453,28682,132370,chair
565,6457,8005,39982,chair
567,6459,27539,128338,chair
568,6460,4887,19687,chair
570,6462,30527,137529,chair
573,6465,3008,12643,chair
574,6466,21830,107296,chair
575,6467,12040,58111,chair
576,6468,3339,15628,chair
581,6473,8060,40166,chair
584,6476,14982,72027,chair
587,6479,9498,46467,chair
593,6486,1406,8348,chair
596,6489,2909,12378,chair
598,6491,14564,69680,chair
604,6497,14736,70717,chair
605,6498,4401,18375,chair
606,6499,23009,114872,chair
609,6502,12820,61519,chair
609,6502,2561,11467,reader
611,6504,27339,127233,chair
616,6509,30489,137479,chair
616,6509,4331,18192,reader
619,6512,22149,110183,chair
625,6518,7923,39724,chair
627,6520,2670,11762,chair
630,6523,2340,10890,chair
632,6525,20956,102103,chair
633,6527,4496,18634,chair
633,6527,12081,58333,reader
638,6533,6149,22899,chair
639,6534,5111,20296,chair
645,6540,20506,99984,chair
652,6547,22938,114762,chair
653,6548,1025,7351,chair
655,6550,18982,89615,chair
656,6551,8643,42342,chair
657,6552,30651,137664,chair
659,6554,11433,55053,chair
660,6555,3713,16548,chair
663,6558,25014,119676,chair
668,6563,4847,19577,chair
669,6564,11858,57304,chair
670,6565,30535,137537,chair
675,6570,11062,53315,chair
680,6575,5797,22006,chair
684,6579,20230,98758,chair
685,6580,19843,94743,chair
686,6581,29661,136151,chair
688,6583,25263,120135,chair
689,6584,30724,137766,chair
704,6599,25406,120401,chair
713,6608,5502,21310,chair
713,6608,16134,77426,reader
717,6612,23150,115241,chair
723,6618,19007,89733,chair
724,6619,4529,18732,chair
728,6623,23974,117112,chair
729,6624,1301,8090,chair
732,6628,24972,119595,chair
732,6628,2386,11019,reader
733,6629,6979,33678,chair
740,6636,5534,21400,chair
744,6640,2182,10496,chair
744,6640,3468,15947,reader
748,6644,30274,137223,chair
749,6645,29865,136447,chair
751,6647,3008,12643,chair
752,6648,26784,125839,chair
753,6649,23150,115241,chair
754,6650,3117,12935,chair
755,6651,3682,16469,chair
758,6654,21041,102557,chair
762,6658,4866,19636,chair
763,6659,747,6618,chair
765,6661,30245,137192,chair
767,6663,11706,56597,chair
768,6664,10189,49479,chair
770,6667,12214,58918,chair
773,6670,20042,96978,chair
773,6670,11752,56733,reader
774,6671,11652,56374,chair
777,6675,29762,136320,chair
778,6676,15497,74404,chair
784,6683,27276,126950,chair
