id,aha_scholar_id,name,name_first,name_middle,name_last,name_suffix,orcid
1,1433,Douglas B. Craig,Douglas,B.,Craig,,
2,1434,Edmund Abaka,Edmund,,Abaka,,
3,1436,Manssour Aboukhamseen,Manssour,,Aboukhamseen,,
4,1437,Graham Adams Jr.,Graham,,Adams,Jr.,
5,1440,Carol A. Adamson,Carol,A.,Adamson,,
6,1444,Sultana Afroz,Sultana,,Afroz,,
7,1448,Donald Akenson,Donald,,Akenson,,
8,1449,Virginia Aksan,Virginia,,Aksan,,
9,1463,James S. Amelang,James,S.,Amelang,,
10,1470,Christon I. Archer,Christon,I.,Archer,,
11,1476,Mitchell G. Ash,Mitchell,G.,Ash,,
12,1482,Celia M. Azevedo,Celia,M.,Azevedo,,
13,1483,Youngsoo Bae,Youngsoo,,Bae,,
14,1496,Dilek C. Barlas,Dilek,C.,Barlas,,
15,1497,Roderick James Barman,Roderick,James,Barman,,
16,1503,John Barzman,John,,Barzman,,
17,1507,Anja Baumhoff,Anja,,Baumhoff,,
18,1508,Joseph O. Baylen,Joseph,O.,Baylen,,
19,1510,Marc Becker,Marc,,Becker,,
20,1512,Calista Begnal CND,Calista,,Begnal,CND,
21,1518,Henry T. Bernstein,Henry,T.,Bernstein,,
22,1520,Charles L. Bertrand,Charles,L.,Bertrand,,
23,1532,Pall Bjornsson,Pall,,Bjornsson,,
24,1533,Ann M. Blair,Ann,M.,Blair,,
25,1537,Avital H. Bloch,Avital,H.,Bloch,,
26,1559,Kelly King Boyd,Kelly,King,Boyd,,
27,1564,William J. Breen,William,J.,Breen,,
28,1571,Andrea Ebel Brozyna,Andrea,Ebel,Brozyna,,
29,1572,Martin Bruegel,Martin,,Bruegel,,
30,1584,Hans W. Burmeister,Hans,W.,Burmeister,,
31,1590,John C. Cairns,John,C.,Cairns,,
32,1591,William J. Callahan Jr.,William,J.,Callahan,Jr.,
33,1598,Mauro Carboni,Mauro,,Carboni,,
34,1603,Francis Carroll,Francis,,Carroll,,
35,1604,Joan Casanovas,Joan,,Casanovas,,
36,1609,Christopher S. Celenza,Christopher,S.,Celenza,,
37,1616,Min-sun Chen,Min-sun,,Chen,,
38,1617,Ning Chen,Ning,,Chen,,
39,1618,Frederick Hok-ming Cheung,Frederick,Hok-ming,Cheung,,
40,1627,Chris John Chulos,Chris,John,Chulos,,
41,1630,Ricardo Cicerchia,Ricardo,,Cicerchia,,
42,1637,Jeremy Cohen,Jeremy,,Cohen,,
43,1638,Thomas V. Cohen,Thomas,V.,Cohen,,
44,1644,Michael Coleman,Michael,,Coleman,,
45,1646,Ann Gorman Condon,Ann,Gorman,Condon,,
46,1650,Ronald L. Cooksey,Ronald,L.,Cooksey,,
47,1654,Beatrice C. Craig,Beatrice,C.,Craig,,
48,1664,Floyd T. Cunningham,Floyd,T.,Cunningham,,
49,1667,Celia L. Cussen,Celia,L.,Cussen,,
50,1671,Lorraine J. Daston,Lorraine,J.,Daston,,
51,1683,Michael E. DeGolyer,Michael,E.,DeGolyer,,
52,1690,Vincent P. De Santis,Vincent,P.,De Santis,,
53,1693,Etan S. Diamond,Etan,S.,Diamond,,
54,1697,Willard W. Dickerson III,Willard,W.,Dickerson,III,
55,1699,Edward R. Dickinson,Edward,R.,Dickinson,,
56,1704,Michael Doorley,Michael,,Doorley,,
57,1707,Frederick C. Drake,Frederick,C.,Drake,,
58,1716,William E. Echard,William,E.,Echard,,
59,1721,George W. Egerton,George,W.,Egerton,,
60,1723,Sydney Eisen,Sydney,,Eisen,,
61,1724,Steven R. Ekovich,Steven,R.,Ekovich,,
62,1725,Ivana Elbl,Ivana,,Elbl,,
63,1730,Gerhard J. Ens,Gerhard,J.,Ens,,
64,1732,Charlotte Erickson,Charlotte,,Erickson,,
65,1736,Norman Alan Etherington,Norman,Alan,Etherington,,
66,1737,Nicholas Everett,Nicholas,,Everett,,
67,1746,Michael Fellman,Michael,,Fellman,,
68,1762,Alberto Florez-Malagon,Alberto,,Florez-Malagon,,
69,1767,Aaron P. Forsberg,Aaron,P.,Forsberg,,
70,1775,Goldwin S. French,Goldwin,S.,French,,
71,1778,Christopher R. Friedrichs,Christopher,R.,Friedrichs,,
72,1783,Fumiko Fujita,Fumiko,,Fujita,,
73,1785,Fumiko Nishizaki,Fumiko,,Nishizaki,,
74,1786,Jun Furuya,Jun,,Furuya,,
75,1798,Jessica C. E. Gienow-Hecht,Jessica,C. E.,Gienow-Hecht,,
76,1801,Philip W. Giltner Jr.,Philip,W.,Giltner,Jr.,
77,1805,Jason K. Glenn,Jason,K.,Glenn,,
78,1808,William G. Godfrey,William,G.,Godfrey,,
79,1811,Robert B. Goheen,Robert,B.,Goheen,,
80,1818,Michael E. Goodich,Michael,E.,Goodich,,
81,1820,Janet R. Goodwin,Janet,R.,Goodwin,,
82,1835,Nancy L. Green,Nancy,L.,Green,,
83,1839,Ralph P. Guentzel,Ralph,P.,Guentzel,,
84,1844,Arthur Haberman,Arthur,,Haberman,,
85,1847,Patrick Hagopian,Patrick,,Hagopian,,
86,1850,Bert S. Hall,Bert,S.,Hall,,
87,1863,Jane E. Harrison,Jane,E.,Harrison,,
88,1867,Peter J. Hatlie,Peter,J.,Hatlie,,
89,1872,Roger L. Heacock Jr.,Roger,L.,Heacock,Jr.,
90,1875,Stephen J. Heathorn,Stephen,J.,Heathorn,,
