id,aha_scholar_id,name,name_first,name_middle,name_last,name_suffix,orcid
1,1433,Douglas B. Craig,Douglas,B.,Craig,NA,NA
2,1434,Edmund Abaka,Edmund,NA,Abaka,NA,NA
3,1436,Manssour Aboukhamseen,Manssour,NA,Aboukhamseen,NA,NA
4,1437,Graham Adams Jr.,Graham,NA,Adams,Jr.,NA
5,1440,Carol A. Adamson,Carol,A.,Adamson,NA,NA
6,1444,Sultana Afroz,Sultana,NA,Afroz,NA,NA
7,1448,Donald Akenson,Donald,NA,Akenson,NA,NA
8,1449,Virginia Aksan,Virginia,NA,Aksan,NA,NA
9,1463,James S. Amelang,James,S.,Amelang,NA,NA
10,1470,Christon I. Archer,Christon,I.,Archer,NA,NA
11,1476,Mitchell G. Ash,Mitchell,G.,Ash,NA,NA
12,1482,Celia M. Azevedo,Celia,M.,Azevedo,NA,NA
13,1483,Youngsoo Bae,Youngsoo,NA,Bae,NA,NA
14,1496,Dilek C. Barlas,Dilek,C.,Barlas,NA,NA
15,1497,Roderick James Barman,Roderick,James,Barman,NA,NA
16,1503,John Barzman,John,NA,Barzman,NA,NA
17,1507,Anja Baumhoff,Anja,NA,Baumhoff,NA,NA
18,1508,Joseph O. Baylen,Joseph,O.,Baylen,NA,NA
19,1510,Marc Becker,Marc,NA,Becker,NA,NA
20,1512,Calista Begnal CND,Calista,NA,Begnal,CND,NA
21,1518,Henry T. Bernstein,Henry,T.,Bernstein,NA,NA
22,1520,Charles L. Bertrand,Charles,L.,Bertrand,NA,NA
23,1532,Pall Bjornsson,Pall,NA,Bjornsson,NA,NA
24,1533,Ann M. Blair,Ann,M.,Blair,NA,NA
25,1537,Avital H. Bloch,Avital,H.,Bloch,NA,NA
26,1559,Kelly King Boyd,Kelly,King,Boyd,NA,NA
27,1564,William J. Breen,William,J.,Breen,NA,NA
28,1571,Andrea Ebel Brozyna,Andrea,Ebel,Brozyna,NA,NA
29,1572,Martin Bruegel,Martin,NA,Bruegel,NA,NA
30,1584,Hans W. Burmeister,Hans,W.,Burmeister,NA,NA
31,1590,John C. Cairns,John,C.,Cairns,NA,NA
32,1591,William J. Callahan Jr.,William,J.,Callahan,Jr.,NA
33,1598,Mauro Carboni,Mauro,NA,Carboni,NA,NA
34,1603,Francis Carroll,Francis,NA,Carroll,NA,NA
35,1604,Joan Casanovas,Joan,NA,Casanovas,NA,NA
36,1609,Christopher S. Celenza,Christopher,S.,Celenza,NA,NA
37,1616,Min-sun Chen,Min-sun,NA,Chen,NA,NA
38,1617,Ning Chen,Ning,NA,Chen,NA,NA
39,1618,Frederick Hok-ming Cheung,Frederick,Hok-ming,Cheung,NA,NA
40,1627,Chris John Chulos,Chris,John,Chulos,NA,NA
41,1630,Ricardo Cicerchia,Ricardo,NA,Cicerchia,NA,NA
42,1637,Jeremy Cohen,Jeremy,NA,Cohen,NA,NA
43,1638,Thomas V. Cohen,Thomas,V.,Cohen,NA,NA
44,1644,Michael Coleman,Michael,NA,Coleman,NA,NA
45,1646,Ann Gorman Condon,Ann,Gorman,Condon,NA,NA
46,1650,Ronald L. Cooksey,Ronald,L.,Cooksey,NA,NA
47,1654,Beatrice C. Craig,Beatrice,C.,Craig,NA,NA
48,1664,Floyd T. Cunningham,Floyd,T.,Cunningham,NA,NA
49,1667,Celia L. Cussen,Celia,L.,Cussen,NA,NA
50,1671,Lorraine J. Daston,Lorraine,J.,Daston,NA,NA
51,1683,Michael E. DeGolyer,Michael,E.,DeGolyer,NA,NA
52,1690,Vincent P. De Santis,Vincent,P.,De Santis,NA,NA
53,1693,Etan S. Diamond,Etan,S.,Diamond,NA,NA
54,1697,Willard W. Dickerson III,Willard,W.,Dickerson,III,NA
55,1699,Edward R. Dickinson,Edward,R.,Dickinson,NA,NA
56,1704,Michael Doorley,Michael,NA,Doorley,NA,NA
57,1707,Frederick C. Drake,Frederick,C.,Drake,NA,NA
58,1716,William E. Echard,William,E.,Echard,NA,NA
59,1721,George W. Egerton,George,W.,Egerton,NA,NA
60,1723,Sydney Eisen,Sydney,NA,Eisen,NA,NA
61,1724,Steven R. Ekovich,Steven,R.,Ekovich,NA,NA
62,1725,Ivana Elbl,Ivana,NA,Elbl,NA,NA
63,1730,Gerhard J. Ens,Gerhard,J.,Ens,NA,NA
64,1732,Charlotte Erickson,Charlotte,NA,Erickson,NA,NA
65,1736,Norman Alan Etherington,Norman,Alan,Etherington,NA,NA
66,1737,Nicholas Everett,Nicholas,NA,Everett,NA,NA
67,1746,Michael Fellman,Michael,NA,Fellman,NA,NA
68,1762,Alberto Florez-Malagon,Alberto,NA,Florez-Malagon,NA,NA
69,1767,Aaron P. Forsberg,Aaron,P.,Forsberg,NA,NA
70,1775,Goldwin S. French,Goldwin,S.,French,NA,NA
71,1778,Christopher R. Friedrichs,Christopher,R.,Friedrichs,NA,NA
72,1783,Fumiko Fujita,Fumiko,NA,Fujita,NA,NA
73,1785,Fumiko Nishizaki,Fumiko,NA,Nishizaki,NA,NA
74,1786,Jun Furuya,Jun,NA,Furuya,NA,NA
75,1798,Jessica C. E. Gienow-Hecht,Jessica,C. E.,Gienow-Hecht,NA,NA
76,1801,Philip W. Giltner Jr.,Philip,W.,Giltner,Jr.,NA
77,1805,Jason K. Glenn,Jason,K.,Glenn,NA,NA
78,1808,William G. Godfrey,William,G.,Godfrey,NA,NA
79,1811,Robert B. Goheen,Robert,B.,Goheen,NA,NA
80,1818,Michael E. Goodich,Michael,E.,Goodich,NA,NA
81,1820,Janet R. Goodwin,Janet,R.,Goodwin,NA,NA
82,1835,Nancy L. Green,Nancy,L.,Green,NA,NA
83,1839,Ralph P. Guentzel,Ralph,P.,Guentzel,NA,NA
84,1844,Arthur Haberman,Arthur,NA,Haberman,NA,NA
85,1847,Patrick Hagopian,Patrick,NA,Hagopian,NA,NA
86,1850,Bert S. Hall,Bert,S.,Hall,NA,NA
87,1863,Jane E. Harrison,Jane,E.,Harrison,NA,NA
88,1867,Peter J. Hatlie,Peter,J.,Hatlie,NA,NA
89,1872,Roger L. Heacock Jr.,Roger,L.,Heacock,Jr.,NA
90,1875,Stephen J. Heathorn,Stephen,J.,Heathorn,NA,NA
91,1877,Richard J. Helmstadter,Richard,J.,Helmstadter,NA,NA
92,1878,James E. Hendrickson,James,E.,Hendrickson,NA,NA
93,1882,Katherine A. Hermes,Katherine,A.,Hermes,NA,NA
94,1884,Adam A. Hetnal,Adam A.,NA,Hetnal,NA,NA
95,1885,Gad J. Heuman,Gad,J.,Heuman,NA,NA
96,1891,John-Paul Himka,John-Paul,NA,Himka,NA,NA
97,1893,Izumi Hirobe,Izumi,NA,Hirobe,NA,NA
98,1899,Rosemarijn Hoefte,Rosemarijn,NA,Hoefte,NA,NA
99,1900,Dirk Hoerder,Dirk,NA,Hoerder,NA,NA
100,1901,Richard C. Hoffmann,Richard,C.,Hoffmann,NA,NA
101,1902,Robert A. Hohner,Robert,A.,Hohner,NA,NA
102,1907,Michaela M. Hoenicke Moore,Michaela,M.,Hoenicke Moore,NA,NA
103,1911,Masahiro Hosoya,Masahiro,NA,Hosoya,NA,NA
104,1913,Paul M. Howell,Paul,M.,Howell,NA,NA
105,1914,John F. Howes,John,F.,Howes,NA,NA
106,1915,Leslie Howsam,Leslie,NA,Howsam,NA,NA
107,1916,William H. Hubbard,William,H.,Hubbard,NA,NA
108,1917,Ronald K. Huch,Ronald,K.,Huch,NA,NA
109,1921,Gershon David Hundert,Gershon,David,Hundert,NA,NA
110,1922,Harry Haywood Hunt,Harry,Haywood,Hunt,NA,NA
111,1928,Thomas Neil Ingersoll,Thomas,Neil,Ingersoll,NA,NA
112,1935,Hubertus F. Jahn,Hubertus,F.,Jahn,NA,NA
113,1937,Eric J. Jarvis,Eric,J.,Jarvis,NA,NA
114,1939,Jennifer Jay,Jennifer,NA,Jay,NA,NA
115,1940,L. C. Jennings,L. C.,NA,Jennings,NA,NA
116,1945,Robert E. Johnson,Robert,E.,Johnson,NA,NA
117,1946,Andrew Johnston,Andrew,NA,Johnston,NA,NA
118,1948,Elwood H. Jones,Elwood,H.,Jones,NA,NA
119,1952,Nikolaos Kalogeras,Nikolaos,NA,Kalogeras,NA,NA
120,1956,Douglas G. Karsner,Douglas,G.,Karsner,NA,NA
121,1962,Kohei Kawashima,Kohei,NA,Kawashima,NA,NA
122,1963,Gregory S. Kealey,Gregory,S.,Kealey,NA,NA
123,1969,George Dickson Kerr,George,Dickson,Kerr,NA,NA
124,1972,Hyong-In Kim,Hyong-In,NA,Kim,NA,NA
125,1980,Earl H. Kinmonth,Earl,H.,Kinmonth,NA,NA
126,1988,Sherri Klassen,Sherri,NA,Klassen,NA,NA
127,1989,John M. Klassen,John,M.,Klassen,NA,NA
128,1990,John D. Klier,John,D.,Klier,NA,NA
129,1993,Jake V. T. Knoppers,Jake,V. T.,Knoppers,NA,NA
130,1998,John H. Komlos,John,H.,Komlos,NA,NA
131,2001,Mark W. Konnert,Mark,W.,Konnert,NA,NA
132,2002,Josef W. Konvitz,Josef,W.,Konvitz,NA,NA
133,2008,Daniel Kotzin,Daniel,NA,Kotzin,NA,NA
134,2010,Hendrik Kraay,Hendrik,NA,Kraay,NA,NA
135,2017,Michael Kulikowski,Michael,NA,Kulikowski,NA,NA
136,2021,Richard G. Kurial,Richard,G.,Kurial,NA,NA
137,2022,Shigehisa Kuriyama,Shigehisa,NA,Kuriyama,NA,NA
138,2030,Molly Ladd-Taylor,Molly,NA,Ladd-Taylor,NA,NA
139,2038,Klaus Larres,Klaus,NA,Larres,NA,NA
140,2043,Richard A. Lebrun,Richard,A.,Lebrun,NA,NA
141,2045,David Lederer Esq.,David,NA,Lederer,Esq.,NA
142,2051,Isabelle Lehuu,Isabelle,NA,Lehuu,NA,NA
143,2061,Oliver Liang,Oliver,NA,Liang,NA,NA
144,2063,Helen Liebel-Weckowicz,Helen,NA,Liebel-Weckowicz,NA,NA
145,2066,David L. Lightner,David,L.,Lightner,NA,NA
146,2071,Mei-Mei Rose Lin,Mei-Mei,Rose,Lin,NA,NA
147,2072,Patricia Y.C.E. Lin,Patricia,Y.C.E.,Lin,NA,NA
148,2078,Royden K. Loewen,Royden,K.,Loewen,NA,NA
149,2082,Clara Lopez-Beltran,Clara,NA,Lopez-Beltran,NA,NA
150,2086,David Lowenthal,David,NA,Lowenthal,NA,NA
151,2090,John S. Lutz,John,S.,Lutz,NA,NA
152,2092,James C. Mabry,James,C.,Mabry,NA,NA
153,2093,Kerrie L. MacPherson,Kerrie,L.,MacPherson,NA,NA
154,2095,Sigurdur Gylfi Magnusson,Sigurdur,Gylfi,Magnusson,NA,NA
155,2110,A. Lynn Martin,A. Lynn,NA,Martin,NA,NA
156,2129,Elizabeth W. McGahan,Elizabeth,W.,McGahan,NA,NA
157,2131,Sheila M. McIntyre,Sheila,M.,McIntyre,NA,NA
158,2134,Douglas McCalla,Douglas,NA,McCalla,NA,NA
159,2137,Kathleen E. McCrone,Kathleen,E.,McCrone,NA,NA
160,2140,Roderick E. McGrew,Roderick,E.,McGrew,NA,NA
161,2141,Shannon McSheffrey,Shannon,NA,McSheffrey,NA,NA
162,2142,Neville K. Meaney,Neville,K.,Meaney,NA,NA
163,2147,Mark D. Meigs,Mark,D.,Meigs,NA,NA
164,2152,Mark Meyerson,Mark,NA,Meyerson,NA,NA
165,2157,Arthur Mitzman,Arthur,NA,Mitzman,NA,NA
166,2159,Luca Mola,Luca,NA,Mola,NA,NA
167,2161,Monique Ida Septon,Monique,Ida,Septon,NA,NA
168,2163,Deborah Montgomerie,Deborah,NA,Montgomerie,NA,NA
169,2167,Gerard T. Moran,Gerard,T.,Moran,NA,NA
170,2172,Bernard H. Moss,Bernard,H.,Moss,NA,NA
171,2174,John Mraz,John,NA,Mraz,NA,NA
172,2176,Hoh-Cheung Mui,Hoh-Cheung,NA,Mui,NA,NA
173,2178,Wolfgang P. Mueller,Wolfgang,P.,Mueller,NA,NA
174,2181,Rhoads Murphey Jr.,Rhoads,NA,Murphey,Jr.,NA
175,2187,Ian B. Mylchreest,Ian,B.,Mylchreest,NA,NA
176,2194,James Naylor,James,NA,Naylor,NA,NA
177,2196,Henry Vivian Nelles,Henry,Vivian,Nelles,NA,NA
178,2202,Ronald C. Newton,Ronald,C.,Newton,NA,NA
179,2215,Yuhtaro Ohmori,Yuhtaro,NA,Ohmori,NA,NA
180,2222,Nelson Ouellet,Nelson,NA,Ouellet,NA,NA
181,2223,Norman G. Owen,Norman,G.,Owen,NA,NA
182,2224,Hilmar M. Pabel,Hilmar,M.,Pabel,NA,NA
183,2229,David Palmer,David,NA,Palmer,NA,NA
184,2230,Stephan Palmie,Stephan,NA,Palmie,NA,NA
185,2231,Michael F. Palo,Michael,F.,Palo,NA,NA
186,2237,B. Jane L. Parpart,B. Jane,L.,Parpart,NA,NA
187,2239,Prasannan Parthasarathi,Prasannan,NA,Parthasarathi,NA,NA
188,2240,Nancy F. Partner,Nancy,F.,Partner,NA,NA
189,2244,Vernon L. Pedersen,Vernon,L.,Pedersen,NA,NA
190,2245,Douglas Peers,Douglas,NA,Peers,NA,NA
191,2247,H. Glenn Penny,H. Glenn,NA,Penny,NA,NA
192,2254,Trudy H. Peterson,Trudy,H.,Peterson,NA,NA
193,2259,Christopher Phelps,Christopher,NA,Phelps,NA,NA
194,2269,Jack R. Pole,Jack,R.,Pole,NA,NA
195,2271,Cathy J. Potter,Cathy,J.,Potter,NA,NA
196,2280,Roberto Rabel,Roberto,NA,Rabel,NA,NA
197,2284,Valerie Ramseyer,Valerie,NA,Ramseyer,NA,NA
198,2288,Ismail O. D. Rashid,Ismail,O. D.,Rashid,NA,NA
199,2289,Eric A. Rauchway,Eric,A.,Rauchway,NA,NA
200,2291,Benjamin W. Redekop,Benjamin,W.,Redekop,NA,NA
201,2294,William G. Reeves,William,G.,Reeves,NA,NA
202,2300,Eric H. Reiter,Eric,H.,Reiter,NA,NA
