Author,Advisor,Dissertation Title,Year
"Yarrow, Andrew","Rosenzweig, Roy A.","The Rise of Economic Thinking and Changing Views of American Identity, 1945-65",2006
"Mellen, Roger P.","Zagarri, Rosemarie",A Culture of Dissidence: The Emergence of Liberty of the Press in Pre-Revolutionary Virginia,2007
"Lansbury, Jennifer H.","Smith, Suzanne","Champions Indeed: The Emergence of African American Women Athletes in American Society, 1930-60",2008
"Huggins, Benjamin Lee","Censer, Jane T.","Republican Principles, Democratic Revolutions, and Southern Whigs: Nathaniel Macon, Willie Mangum, and the Course of North Carolina Politics, 1800-53",2008
"Townsend, Robert B.","Stearns, Peter N.","Making History: Scholarship and Professionalization in the Discipline, 1880-1940",2009
"Hering, Katharina","Landsberg, Alison","'We Are All Makers of History': People and Publics in the Practice of Pennsylvania German Family History, 1891-1966",2009
"Brennan, Sheila A.","Landsberg, Alison","Stamping American Memory: Stamp Collecting in the US, 1880s-1930s",2009
"Carpenter, William C.","Holt, Mack P.",Croppies Lie Down: Orangeism in Low and High Irish Protestant Political Culture,2010
"Hurter, Stephanie R.","Zagarri, Rosemarie","'Pressing Their Voices': The People, the Press, and the Growth of Participatory Politics in the State Ratifying Conventions for the US Constitution, 1787-88",2010
"Gifford, Daniel","Landsberg, Alison","To You and Your Kin: Holiday Images from America's Postcard Phenomenon, 1907-10",2011
"Shupe, Kevin D.","Petrik, Paula",Geronimo Escapes: Envisioning Indianness in Modern America,2011
"Moravitz, Michael L.","Landsberg, Alison",Lone Gunman or Patsy? A Cultural History of Lee Harvey Oswald,2011
"Morovitz, Michael","Landsberg, Alison",Lone Gunman or Patsy? A Cultural History of Lee Harvey Oswald,2012
"Prout, Jerry R.","O'Malley, Michael H.",Coxey's Challenge in the Populist Moment,2012
"Sledge, Stephen B.",No advisor on record,The Bitter Fruit of Secession: US Army Occupation and Reconstruction on the Virginia Peninsula,2012
"Harless, Richard","Zagarri, Rosemarie",Learn Our Arts and Ways of Life: George Washington and the Civilization of Native Americans,2012
"Martin, Nona Patara","Horton, Lois","'I'se a Man': The 1942 Riot as an Attack on Bay Street, Discrimination, and Injustice in the Bahamas",2012
"Reeder, Jennifer","Petrik, Paula",'To Do Something Extraordinary': Mormon Women and the Creation of a Usable Past,2013
"Knoerl, T. Kurt","Scully, Randolph F.","Empire in the Hold: The British Maritime Cultural Landscape in the Western Great Lakes, 1759-96",2013
"Sibaja, Rwany","Karush, Matthew B.","¡Animales! Civility, Disorder, and Class Tensions in Argentinean Football, 1955-70",2013
"Andrews, William F.","Hamner, Christopher Heald",To Fly and Fight: The Experience of American Airmen in Southeast Asia,2014
"Bateman, Kirklin J.","Lair, Meredith H.","Project 100,000: New Standards Men and the Vietnam War",2014
"Barth, Jonathan E.","Kierner, Cynthia A.","Money, Mercantilism and Empire in the Early English Atlantic, 1607-97",2014
"Weir, Jeffrey M.","Scully, Randolph F.","A Challenge to the Cause: Smallpox Inoculation in the Era of American Independence, 1764-81",2014
"Vaughn, Curtis","Censer, Jane T.",Freedom Is Not Enough: African Americans in Antebellum Fairfax County,2014
"Lemza, John","Lair, Meredith H.","Tracing American Exceptionalism in Cold War Military Communities in Germany, 1955-90",2014
"Levasseur, Jennifer","Petrik, Paula",Pictures by Proxy: Images of Exploration and the First Decade of Astronaut Photography at NASA,2014
"Lillard, John","Hamner, Christopher Heald",Playing War: Wargaming and US Navy Preparations for World War II,2014
"Linhart, Mary Sullivan","Schrag, Zachary M.","Up to Date and Progressive: Winchester and Frederick County, Virginia, 1870-1980",2014
"Santelli, Maureen Connors","Zagarri, Rosemarie","'The Greek Fire': The Greek War for Independence and the Emergence of American Reform Movements, 1780-1860",2014
"Lesanu, Alexandru","Barnes, Steven A.","A Sweet History in Bitter Times: Refining Sugar in the Transnistrian Borderlands, 1898-2015",2015
"Erbelding, Rebecca","Deshmukh, Marion F.","About Time: The History of the War Refugee Board, 1944-45",2015
"Fisher, Tracy","Landsberg, Alison",'For Us the Living': How America Buried its World War I Overseas Dead,2016
"Cafferata, Lee Ann","Petrik, Paula","Tredegar Iron Works, Richmond, Virginia: A Study of Industrial Survival, 1873-92",2016
"Sharpe, Celeste Tuong Vy","Smith, Suzanne","They Need You! Disability, Visual Culture, and the Poster Child, 1945-80",2016
"Douglass, Susan L.","Hamdani, Sumaiya","Teaching the World in Three Mass Education Systems: Britain, Egypt, and India, 1950-70",2016
"Oberle, George D., III","Zagarri, Rosemarie",Institutionalizing the Information Revolution: Debates over the Knowledge Institutions in the Early American Republic,2016
"Beatty, Jacqueline","Zagarri, Rosemarie","In Dependence: Women's Protection and Subordination as Power in Early America, 1750-1820",2016
"Slade Martin, Phyllis","Carton, Benedict",A Moral Imperative: The Role of American Black Churches in International Anti-Apartheid Activism,2016
"Suiter, Tad","Petrik, Paula",'Vulgarizing American Children': Navigating Respectability and Commercial Appeal in Early Newspaper Comics,2016
"White, Gwen E.","Kierner, Cynthia A.","Commerce and Community: Plantation Life at George Washington's Mount Vernon, 1754-99",2016
"Harris-Scott, Steven Anthony","Scully, Randolph F.","Northern Virginia, A Land Apart: Bound Labor in Virginia’s Upper Northern Neck, 1645-1710",2016
"Sleeter, Nathan","O'Malley, Michael H.","Fortunate Deviates: A Cultural History of Gifted Children, 1916-65",2017
"Bestebreurtje, Lindsey","Ritterhouse, Jennifer L.","'Built by the People Themselves': African American Community Development in Arlington County, Virginia, from Civil War through Civil Rights",2017
"Bizri, Zayna N.","Hamner, Christopher Heald",Recruiting Women into the World War II Military: The Office of War Information and Gender,2017
"Griffith, Misha M.","Kelly, Mills",Towards a Portable Public Sphere: How Technology Created a Discursive Space in Czechoslovakia in 1968,2017
"Hurwitz, Benjamin J.","Carton, Benedict","Grazing the Modern World: Merino Sheep in South Africa and the United States, 1775-1840",2017
"Moir, Holly Laura","Stearns, Peter N.","Guiding Children's Consumerism, 1945-2000: Expanding Parental Responsibility",2017
"Huerta, Sheri A.","Censer, Jane T.","'A Great Uneasiness In Our County': Slavery and Its Influence on Family and Community Stability in Northern Virginia, 1782-1860",2017
"Clark, Ray W.","Schrag, Zachary M.",A Public Airport for the District of Columbia: The History of Washington Dulles International Airport,2017
"McDivitt, Anne Ladyem","O'Malley, Michael H.",We Take Fun Seriously: The Creation of the Video Game Industry in the United States,2018
"Capps, Alan P.","Schrag, Zachary M.","The Antecedents of the US Border Patrol, 1812-1940",2018
"Francavilla, Lisa A.","Zagarri, Rosemarie","Markets and Masculinity: Pursuing Wealth, Power, and American 'Manliness' in the China Trade",2018
"Beasley, Gretchen","Kelly, Mills","Creating Identity, Defining Culture, Building Nations: An Examination of Material Culture and Exchange Between the Polish-Lithuanian Commonwealth and Ottoman Empire, 1562-1795",2018
"Rodriguez, John","Bristol, Joan","A City of Chameleons: Spanish New Orleans and the Transition of Empires, 1767-1803",2018
"Gildersleeve, Royce","Zagarri, Rosemarie","Toward the Racial Binary: Race, Property and the Dispossession of Indians in Early Virginia",2018
"Regan, Amanda","Landsberg, Alison","Shaping Up: Physical Fitness Initiatives for Women, 1880-1965",2019
"Price, Lynn","Zagarri, Rosemarie","'To Enjoy the Blessings of Freedom': Slavery, Manumission, and Colonization in the District of Columbia, 1790-1862",2019
"Schneider, Benjamin M.","Hamner, Christopher Heald","Murder and the American Soldier, 1942-45",2019
"Wieringa, Jeri Elizabeth","O'Malley, Michael H.","A Gospel of Health and Salvation: Modeling the Religious Culture of Seventh-day Adventism, 1843-1920",2019
"Bush, Erin N.","Ritterhouse, Jennifer L.","Under the Guise of Protection: Sex, Race, and Eugenics in Virginia's Reformatories for Wayward Girls, 1910-42",2019
"Bradshaw, Kellie Kahrmann","Copelman, Dina M.","Reality, Expectations, and Fears: Women Shop Assistants in London, 1890-1914",2019
"Catalano, Joshua","Genetin-Pilawa, C. Joseph",The Settler-Colonial Memory of the Gnadenhutten Massacre and the Burning of William Crawford,2019
"Gonzaba, Eric N.","Smith, Suzanne","Because the Night: Nightlife and Remaking the Gay Male World, 1970-2000",2019
"Seal, Stephanie","Kierner, Cynthia A.","'As I Glory in the Name of Tory': Loyalism, Community, and Memory in Revolutionary Virginia, 1765-98",2020
"Salamone, Andrew","Kierner, Cynthia A.","'The Day We Celebrate': Contesting Independence Day in the Deep South, 1820-1906",2020
"Brands, Benjamin D.","Hamner, Christopher Heald","Natural Genius versus Safe Leadership: The Debate over Professional Military Education in the United States Army, 1880-92",2020
"Brody, Alan S.","Schrag, Zachary M.","The Turnkey System: Franchising, Entrepreneurship and Captialism in Postwar America",2020
"Gray, Andrea R.","Kierner, Cynthia A.",'Leaving Their Callings': Retirement in the Early Republic,2020
"Garcia, Beth","Jordan, Yevette",'We Feel Sadly the Effects of It in this Country': The American Civil War and Liberia's Struggle to Build Up a Nation,2020
"Connor, Roger","Schrag, Zachary M.","Rooftops to Rice Paddies: Aerial Utopianism, Helicopters, and the Creation of the National Security State",2020
"Michalewicz, Nathan Kirk","Holt, Mack P.","Franco-Ottoman Diplomacy during the French Wars of Religion, 1559-1610",2020
"Collini, Sara Elizabeth","Scully, Randolph F.","Birthing a Nation: Enslaved Women and Midwifery in Early America, 1750-1820",2020
"Garnett, John R.","Karush, Matthew B.","The Origin of the Green Revolution: Mexican Agricultural Program, Science, and the Birth of Humanitarian Imperialism, 1940-63",2021
"Legg, Jannelle","Mullen, Lincoln",'With Eloquent Fingers He Preached': The Episcopal Mission to the Deaf,2021
"Hardesty, Richard L.","Schrag, Zachary M.","Magic 'in a Tragic City': The Orioles and the Redevelopment of Baltimore, 1954-92",2021
"Curry, Daniel","Genetin-Pilawa, C. Joseph","Persistence and Property Rights: The Economic and Legal History of Spanish and Mexican Land Grants in California and New Mexico, 1821-1910",2021
"Rusiecki, Stephen","Hamner, Christopher Heald","The Greatest Crusade: D-Day, the Press, and the Making of an American Narrative",2021
"Brett, Megan R.","Kierner, Cynthia A.","Family Strategies, Kinship Networks, and National Identity for Americans Abroad: The Maury Family of Virginia and Liverpool, 1785-1840",2022
