author,committee_member
"Yarrow, Andrew","Rosenzweig, Roy A."
"Mellen, Roger P.","Zagarri, Rosemarie"
"Lansbury, Jennifer H.","Smith, Suzanne"
"Huggins, Benjamin Lee","Censer, Jane T."
"Townsend, Robert B.","Stearns, Peter N."
"Townsend, Robert B.","Rosenzweig, Roy A."
"Hering, Katharina","Landsberg, Alison"
"Brennan, Sheila A.","Landsberg, Alison"
"Carpenter, William C.","Holt, Mack P."
"Hurter, Stephanie R.","Zagarri, Rosemarie"
"Gifford, Daniel","Landsberg, Alison"
"Shupe, Kevin D.","Petrik, Paula"
"Moravitz, Michael L.","Landsberg, Alison"
"Morovitz, Michael","Landsberg, Alison"
"Prout, Jerry R.","O'Malley, Michael H."
"Harless, Richard","Zagarri, Rosemarie"
"Martin, Nona Patara","Horton, Lois"
"Reeder, Jennifer","Petrik, Paula"
"Knoerl, T. Kurt","Scully, Randolph F."
"Sibaja, Rwany","Karush, Matthew B."
"Andrews, William F.","Hamner, Christopher Heald"
"Bateman, Kirklin J.","Lair, Meredith H."
"Barth, Jonathan E.","Kierner, Cynthia A."
"Weir, Jeffrey M.","Scully, Randolph F."
"Vaughn, Curtis","Censer, Jane T."
"Lemza, John","Lair, Meredith H."
"Levasseur, Jennifer","Petrik, Paula"
"Lillard, John","Hamner, Christopher Heald"
"Linhart, Mary Sullivan","Schrag, Zachary M."
"Santelli, Maureen Connors","Zagarri, Rosemarie"
"Lesanu, Alexandru","Barnes, Steven A."
"Erbelding, Rebecca","Deshmukh, Marion F."
"Fisher, Tracy","Landsberg, Alison"
"Cafferata, Lee Ann","Petrik, Paula"
"Sharpe, Celeste Tuong Vy","Smith, Suzanne"
"Douglass, Susan L.","Hamdani, Sumaiya"
"Oberle, George D., III","Zagarri, Rosemarie"
"Beatty, Jacqueline","Zagarri, Rosemarie"
"Slade Martin, Phyllis","Carton, Benedict"
"Suiter, Tad","Petrik, Paula"
"White, Gwen E.","Kierner, Cynthia A."
"Harris-Scott, Steven Anthony","Scully, Randolph F."
"Sleeter, Nathan","O'Malley, Michael H."
"Bestebreurtje, Lindsey","Ritterhouse, Jennifer L."
"Bizri, Zayna N.","Hamner, Christopher Heald"
"Griffith, Misha M.","Kelly, Mills"
"Hurwitz, Benjamin J.","Carton, Benedict"
"Moir, Holly Laura","Stearns, Peter N."
"Huerta, Sheri A.","Censer, Jane T."
"Clark, Ray W.","Schrag, Zachary M."
"McDivitt, Anne Ladyem","O'Malley, Michael H."
"Capps, Alan P.","Schrag, Zachary M."
"Francavilla, Lisa A.","Zagarri, Rosemarie"
"Beasley, Gretchen","Kelly, Mills"
"Rodriguez, John","Bristol, Joan"
"Gildersleeve, Royce","Zagarri, Rosemarie"
"Regan, Amanda","Landsberg, Alison"
"Price, Lynn","Zagarri, Rosemarie"
"Schneider, Benjamin M.","Hamner, Christopher Heald"
"Wieringa, Jeri Elizabeth","O'Malley, Michael H."
"Bush, Erin N.","Ritterhouse, Jennifer L."
"Bradshaw, Kellie Kahrmann","Copelman, Dina M."
"Catalano, Joshua","Genetin-Pilawa, C. Joseph"
"Gonzaba, Eric N.","Smith, Suzanne"
"Seal, Stephanie","Kierner, Cynthia A."
"Salamone, Andrew","Kierner, Cynthia A."
"Brands, Benjamin D.","Hamner, Christopher Heald"
"Brody, Alan S.","Schrag, Zachary M."
"Gray, Andrea R.","Kierner, Cynthia A."
"Garcia, Beth","Jordan, Yevette"
"Connor, Roger","Schrag, Zachary M."
"Michalewicz, Nathan Kirk","Holt, Mack P."
"Collini, Sara Elizabeth","Scully, Randolph F."
"Garnett, John R.","Karush, Matthew B."
"Legg, Jannelle","Mullen, Lincoln"
"Hardesty, Richard L.","Schrag, Zachary M."
"Curry, Daniel","Genetin-Pilawa, C. Joseph"
"Rusiecki, Stephen","Hamner, Christopher Heald"
"Brett, Megan R.","Kierner, Cynthia A."
